customer_id,email,first_name,acquisition_channel,acquisition_date,country,customer_type,email_subscribed
CUST00001,william.cust00001@example.com,William,meta,2024-01-23,US,one_time,False
CUST00002,amelia.cust00002@example.com,Amelia,meta,2024-01-18,GB,one_time,False
CUST00003,liam.cust00003@example.com,Liam,meta,2024-01-26,US,subscription,False
CUST00004,ava.cust00004@example.com,Ava,meta,2024-01-26,GB,subscription,False
CUST00005,emma.cust00005@example.com,Emma,meta,2024-01-29,AU,one_time,True
CUST00006,lucy.cust00006@example.com,Lucy,meta,2024-01-11,GB,one_time,True
CUST00007,noah.cust00007@example.com,Noah,meta,2024-01-07,US,one_time,True
CUST00008,james.cust00008@example.com,James,meta,2024-01-04,US,one_time,True
CUST00009,logan.cust00009@example.com,Logan,meta,2024-01-10,US,one_time,True
CUST00010,amelia.cust00010@example.com,Amelia,meta,2024-01-01,AU,one_time,True
CUST00011,chloe.cust00011@example.com,Chloe,meta,2024-01-18,GB,one_time,True
CUST00012,sophie.cust00012@example.com,Sophie,meta,2024-01-19,NL,one_time,True
CUST00013,oliver.cust00013@example.com,Oliver,meta,2024-01-04,FR,one_time,True
CUST00014,oliver.cust00014@example.com,Oliver,meta,2024-01-26,AU,one_time,True
CUST00015,olivia.cust00015@example.com,Olivia,meta,2024-01-23,GB,one_time,False
CUST00016,noah.cust00016@example.com,Noah,meta,2024-01-10,GB,one_time,False
CUST00017,george.cust00017@example.com,George,meta,2024-01-16,GB,one_time,False
CUST00018,olivia.cust00018@example.com,Olivia,meta,2024-01-28,US,one_time,True
CUST00019,mia.cust00019@example.com,Mia,meta,2024-01-30,AU,one_time,True
CUST00020,isla.cust00020@example.com,Isla,meta,2024-01-08,DE,one_time,False
CUST00021,jack.cust00021@example.com,Jack,meta,2024-01-25,GB,one_time,True
CUST00022,grace.cust00022@example.com,Grace,meta,2024-01-03,DE,subscription,True
CUST00023,noah.cust00023@example.com,Noah,meta,2024-01-13,AU,one_time,True
CUST00024,logan.cust00024@example.com,Logan,meta,2024-01-02,GB,one_time,True
CUST00025,charlotte.cust00025@example.com,Charlotte,meta,2024-01-19,US,one_time,True
CUST00026,ethan.cust00026@example.com,Ethan,meta,2024-01-26,US,one_time,True
CUST00027,hannah.cust00027@example.com,Hannah,meta,2024-01-18,GB,one_time,True
CUST00028,oliver.cust00028@example.com,Oliver,meta,2024-01-01,FR,subscription,True
CUST00029,alex.cust00029@example.com,Alex,meta,2024-01-17,US,one_time,False
CUST00030,ava.cust00030@example.com,Ava,meta,2024-01-19,AU,one_time,True
CUST00031,mia.cust00031@example.com,Mia,meta,2024-01-29,DE,one_time,True
CUST00032,hannah.cust00032@example.com,Hannah,meta,2024-01-02,US,one_time,True
CUST00033,liam.cust00033@example.com,Liam,meta,2024-01-13,GB,subscription,True
CUST00034,henry.cust00034@example.com,Henry,meta,2024-01-14,GB,subscription,False
CUST00035,alex.cust00035@example.com,Alex,meta,2024-01-26,GB,one_time,False
CUST00036,zoe.cust00036@example.com,Zoe,meta,2024-01-11,GB,subscription,True
CUST00037,lucas.cust00037@example.com,Lucas,meta,2024-01-16,CA,one_time,False
CUST00038,george.cust00038@example.com,George,meta,2024-01-04,GB,one_time,False
CUST00039,george.cust00039@example.com,George,meta,2024-01-10,GB,one_time,True
CUST00040,emma.cust00040@example.com,Emma,meta,2024-01-24,AU,subscription,True
CUST00041,zoe.cust00041@example.com,Zoe,meta,2024-01-30,GB,one_time,False
CUST00042,ethan.cust00042@example.com,Ethan,meta,2024-01-26,GB,one_time,False
CUST00043,hannah.cust00043@example.com,Hannah,meta,2024-01-22,GB,one_time,True
CUST00044,george.cust00044@example.com,George,meta,2024-01-22,AU,subscription,True
CUST00045,charlotte.cust00045@example.com,Charlotte,meta,2024-01-17,GB,one_time,True
CUST00046,ava.cust00046@example.com,Ava,meta,2024-01-05,AU,one_time,True
CUST00047,sophie.cust00047@example.com,Sophie,meta,2024-01-28,GB,one_time,True
CUST00048,george.cust00048@example.com,George,meta,2024-01-21,NL,subscription,True
CUST00049,chloe.cust00049@example.com,Chloe,meta,2024-01-01,GB,one_time,True
CUST00050,ella.cust00050@example.com,Ella,meta,2024-01-19,GB,subscription,True
CUST00051,alex.cust00051@example.com,Alex,meta,2024-01-29,GB,one_time,True
CUST00052,ava.cust00052@example.com,Ava,meta,2024-01-17,NL,subscription,True
CUST00053,lucas.cust00053@example.com,Lucas,meta,2024-01-30,US,subscription,False
CUST00054,ava.cust00054@example.com,Ava,meta,2024-01-09,GB,one_time,True
CUST00055,mia.cust00055@example.com,Mia,meta,2024-01-17,US,one_time,True
CUST00056,chloe.cust00056@example.com,Chloe,meta,2024-01-20,GB,one_time,True
CUST00057,jack.cust00057@example.com,Jack,meta,2024-01-17,US,one_time,True
CUST00058,zoe.cust00058@example.com,Zoe,meta,2024-01-24,DE,one_time,True
CUST00059,henry.cust00059@example.com,Henry,meta,2024-01-29,DE,one_time,True
CUST00060,charlotte.cust00060@example.com,Charlotte,meta,2024-01-22,US,one_time,True
CUST00061,charlotte.cust00061@example.com,Charlotte,meta,2024-01-10,GB,one_time,True
CUST00062,amelia.cust00062@example.com,Amelia,meta,2024-01-15,NL,one_time,False
CUST00063,chloe.cust00063@example.com,Chloe,meta,2024-01-06,US,one_time,False
CUST00064,george.cust00064@example.com,George,meta,2024-01-12,GB,one_time,True
CUST00065,oliver.cust00065@example.com,Oliver,meta,2024-01-02,GB,one_time,True
CUST00066,william.cust00066@example.com,William,meta,2024-01-29,GB,one_time,True
CUST00067,isla.cust00067@example.com,Isla,meta,2024-01-29,FR,subscription,False
CUST00068,amelia.cust00068@example.com,Amelia,meta,2024-01-09,AU,subscription,True
CUST00069,oliver.cust00069@example.com,Oliver,meta,2024-01-08,US,one_time,True
CUST00070,mason.cust00070@example.com,Mason,meta,2024-01-17,GB,subscription,True
CUST00071,amelia.cust00071@example.com,Amelia,meta,2024-01-18,GB,subscription,True
CUST00072,alex.cust00072@example.com,Alex,meta,2024-01-15,US,one_time,True
CUST00073,harry.cust00073@example.com,Harry,meta,2024-01-16,GB,one_time,True
CUST00074,jack.cust00074@example.com,Jack,meta,2024-01-28,US,subscription,True
CUST00075,lucas.cust00075@example.com,Lucas,meta,2024-01-25,FR,one_time,True
CUST00076,chloe.cust00076@example.com,Chloe,meta,2024-01-07,GB,one_time,True
CUST00077,lucy.cust00077@example.com,Lucy,meta,2024-01-04,GB,one_time,True
CUST00078,ella.cust00078@example.com,Ella,meta,2024-01-22,US,one_time,True
CUST00079,isla.cust00079@example.com,Isla,meta,2024-01-29,US,subscription,True
CUST00080,logan.cust00080@example.com,Logan,meta,2024-01-24,FR,one_time,False
CUST00081,sam.cust00081@example.com,Sam,meta,2024-01-27,GB,subscription,True
CUST00082,emma.cust00082@example.com,Emma,meta,2024-01-02,GB,subscription,True
CUST00083,hannah.cust00083@example.com,Hannah,meta,2024-01-21,GB,one_time,False
CUST00084,logan.cust00084@example.com,Logan,meta,2024-01-06,US,subscription,True
CUST00085,liam.cust00085@example.com,Liam,meta,2024-01-21,US,one_time,True
CUST00086,ava.cust00086@example.com,Ava,meta,2024-01-24,GB,one_time,True
CUST00087,ava.cust00087@example.com,Ava,meta,2024-01-20,GB,one_time,True
